Tara,Aerobic si masa musculara,Aerobic,Masa musculara
Bulgaria,5.9,11.2,8.4
Czechia,7.3,24.9,12.6
Denmark,27.5,49.4,40.9
Germany,26.7,48.3,36.9
Estonia,9.8,25.6,17.8
Ireland,16.1,34.5,22.7
Greece,7.5,19.4,10.6
Spain,13,35.1,18
France,10,27.4,16.1
Croatia,9.6,19,16.1
Italy,8.2,19.3,11.9
Cyprus,5.5,22.4,9.9
Latvia,9.6,20.1,
Lithuania,11.4,20.9,20.4
Luxembourg,20.7,38.8,31.7
Hungary,16.4,30.7,24.4
Malta,6,12.2,13.9
Austria,21.7,43.8,29.2
Poland,6.4,19.7,9
Portugal,7.2,16.3,12.5
Romania,1.7,7.9,2
Slovenia,13.5,25.1,33.2
Slovakia,9.9,30.5,12.9
Finland,28.5,53.4,41.3
Sweden,32.4,51.5,43.9
Iceland,41.3,55,53.7
Norway,24.7,57.3,28
Turkiye,1.2,5.4,2.8
